scenario,ci,nia,pia,ci.pp,ci.pc,ci.cp,ci.cc,d,nda,pda
2000,"971.0 (779.2, 1180.0)",NA,NA,"526.5 (424.0, 650.2)","208.0 (168.2, 249.0)","160.5 (128.0, 193.0)","74.5 (57.0, 89.8)","10.0 (7.0, 12.8)",NA,NA
2001,"26.0 (15.2, 35.0)","946.0 (943.5, 948.5)","97.4 (97.4, 97.5)","9.0 (7.0, 11.0)","7.0 (4.0, 10.0)","6.0 (3.0, 9.8)","3.0 (1.0, 5.0)","5.0 (3.0, 6.0)","5.0 (5.0, 5.0)","53.4 (50.0, 54.2)"
2002,"53.0 (38.0, 72.0)","918.5 (914.9, 921.5)","94.5 (94.4, 94.6)","21.0 (16.0, 29.0)","13.0 (9.0, 18.0)","11.0 (7.0, 17.0)","5.0 (3.0, 8.0)","5.0 (3.0, 6.0)","5.0 (5.0, 5.0)","51.7 (50.0, 53.8)"
2003,"267.5 (208.2, 338.5)","703.0 (695.0, 710.5)","72.0 (71.6, 72.4)","128.0 (98.0, 161.0)","58.0 (45.0, 79.0)","54.0 (41.0, 74.0)","26.0 (19.0, 35.0)","6.0 (4.0, 8.0)","4.0 (3.0, 4.0)","37.5 (36.4, 38.5)"
2004,"2290.0 (2017.5, 2540.0)","-1294.8 (-1309.1, -1278.5)","-129.8 (-132.1, -127.6)","1506.5 (1304.2, 1676.8)","435.0 (383.0, 484.0)","222.5 (199.0, 244.8)","124.0 (108.0, 139.0)","18.0 (14.0, 21.0)","-8.0 (-8.0, -8.0)","-80.9 (-84.0, -77.8)"
2005,"3271.5 (3115.5, 3387.8)","-2259.5 (-2270.0, -2250.0)","-230.0 (-232.0, -227.9)","2250.5 (2172.0, 2313.5)","636.5 (593.5, 673.0)","222.5 (204.2, 239.0)","156.5 (139.2, 172.0)","22.0 (18.0, 27.0)","-12.5 (-13.0, -12.0)","-132.3 (-134.5, -128.6)"
2006,"3569.0 (3542.0, 3590.8)","-2586.5 (-2591.0, -2582.5)","-266.3 (-267.1, -265.3)","2409.0 (2391.0, 2424.8)","747.5 (732.2, 762.0)","225.0 (207.2, 244.0)","184.0 (169.0, 195.0)","23.0 (19.0, 25.0)","-13.0 (-13.0, -13.0)","-132.1 (-134.8, -129.3)"
2007,"35.0 (22.0, 47.0)","937.0 (934.0, 939.5)","96.4 (96.3, 96.5)","11.0 (8.0, 14.0)","9.0 (6.0, 13.8)","10.0 (5.0, 15.0)","5.0 (2.0, 7.0)","5.0 (3.0, 6.0)","5.0 (5.0, 5.0)","53.8 (53.0, 54.5)"
2008,"77.0 (54.0, 110.0)","893.5 (889.5, 898.0)","91.8 (91.7, 92.0)","27.0 (19.2, 36.0)","19.0 (13.0, 26.0)","21.0 (15.0, 33.0)","10.0 (6.0, 15.0)","5.0 (3.0, 6.0)","5.0 (5.0, 5.0)","50.0 (50.0, 51.9)"
2009,"377.0 (294.5, 510.2)","593.8 (585.0, 602.0)","60.4 (59.9, 61.0)","140.5 (109.0, 190.8)","87.5 (67.0, 116.0)","99.5 (77.2, 132.0)","46.0 (35.0, 61.8)","6.0 (4.0, 8.0)","4.0 (4.0, 4.0)","40.0 (40.0, 41.7)"
2010,"2742.5 (2432.2, 2928.8)","-1725.0 (-1740.5, -1711.9)","-172.6 (-175.1, -170.1)","1556.0 (1345.5, 1715.8)","579.5 (517.2, 616.5)","387.0 (366.0, 405.0)","200.0 (185.0, 213.0)","19.0 (16.0, 22.0)","-9.0 (-9.0, -9.0)","-92.6 (-100.0, -90.5)"
